Category,ItemName,ItemHdr,XpressfeedMnemonic,CRSP Long Name,Description/Full Compustat Name,ItemNameType
BalanceSheetQuarterly,KYGVKEY,GVKEY,,Global Company Key - Key Selection,Global Company Key - Key Selection,
BalanceSheetQuarterly,KEYSET,KEYSET,,Selected Keyset of secondary keys,Selected Keyset of secondary keys,
BalanceSheetQuarterly,FYYYYQ,QUARTER,,Fiscal year and quarter of quarterly or YTD reporting,Fiscal year and quarter of quarterly or YTD reporting,
BalanceSheetQuarterly,FYRQ,FYRQ,,Fiscal Year-end Month,FYR: Fiscal Year-end Month (Refer to your Compustat documentation for item definitions),
BalanceSheetQuarterly,LPERMNO,LPERMNO,Link,Permno,PERMNO from link; 0 is used for a missing or not applicable link,LD
BalanceSheetQuarterly,LPERMCO,LPERMCO,Link,Permco,PERMCO from link; 0 is used for a missing or not applicable link,LD
BalanceSheetQuarterly,LINKRANGETYPECD,LINKRANGETYPECD,Link,Link Range Type Code,Not in Compustat documentation,LD
BalanceSheetQuarterly,ACCOQ,ACCOQ,ACCOQ,Acceptances Outstanding,ACCOQ: Acceptances Outstanding (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACCOQ_DC,ACCOQ_DC,ACCOQ_DC,Acceptances Outstanding DC,ACCOQ_DC: Acceptances Outstanding Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACOMINCQ,ACOMINCQ,ACOMINCQ,Accumulated Other Comprehensive Income (Loss),ACOMINCQ: Accumulated Other Comprehensive Income (Loss) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACOMINCQ_DC,ACOMINCQ_DC,ACOMINCQ_DC,Accumulated Other Comprehensive Income (Loss) DC,ACOMINCQ_DC: Accumulated Other Comprehensive Income (Loss) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACOQ,ACOQ,ACOQ,Current Assets - Other - Total,ACOQ: Current Assets - Other - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACOQ_DC,ACOQ_DC,ACOQ_DC,Current Assets - Other - Total DC,ACOQ_DC: Current Assets - Other - Total - Quarterly - Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ACTQ,ACTQ,ACTQ,Current Assets - Total,ACTQ: Current Assets - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ALTOQ,ALTOQ,ALTOQ,Other Long-term Assets,ALTOQ: Other Long-term Assets (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ANCQ,ANCQ,ANCQ,Non-Current Assets - Total,ANCQ: Non-Current Assets - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ANOQ,ANOQ,ANOQ,Assets Netting & Other Adj,ANOQ: Assets Netting & Other Adjustments (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,ANOQ_DC,ANOQ_DC,ANOQ_DC,Assets Netting & Other Adj DC,ANOQ_DC: Assets Netting & Other Adjustments Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIDERGLQ,AOCIDERGLQ,AOCIDERGLQ,Accum Other Comp Inc - Derivatives Unrealized Gain/Loss,AOCIDERGLQ: Accum Other Comp Inc - Derivatives Unrealized Gain/Loss (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIDERGLQ_DC,AOCIDERGLQ_DC,AOCIDERGLQ_DC,Accum Other Comp Inc - Derivatives Unrealized Gain/Loss DC,AOCIDERGLQ_DC: Accum Other Comp Inc - Derivatives Unrealized Gain/Loss Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIDERGLQ_FN,AOCIDERGLQ_FN,AOCIDERGLQ_FN,Accum Other Comp Inc - Derivatives Unrealized Gain/Loss FN,AOCIDERGLQ_FN: Accum Other Comp Inc - Derivatives Unrealized Gain/Loss Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIOTHERQ,AOCIOTHERQ,AOCIOTHERQ,Accum Other Comp Inc - Other Adj,AOCIOTHERQ: Accum Other Comp Inc - Other Adjustments (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIPENQ,AOCIPENQ,AOCIPENQ,Accum Other Comp Inc - Min Pension Liab Adj,AOCIPENQ: Accum Other Comp Inc - Min Pension Liab Adj (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIPENQ_DC,AOCIPENQ_DC,AOCIPENQ_DC,Accum Other Comp Inc - Min Pension Liab Adj DC,AOCIPENQ_DC: Accum Other Comp Inc - Min Pension Liab Adj Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCIPENQ_FN,AOCIPENQ_FN,AOCIPENQ_FN,Accum Other Comp Inc - Min Pension Liab Adj FN,AOCIPENQ_FN: Accum Other Comp Inc - Min Pension Liab Adj Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCISECGLQ,AOCISECGLQ,AOCISECGLQ,Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets,AOCISECGLQ: Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOCISECGLQ_DC,AOCISECGLQ_DC,AOCISECGLQ_DC,Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets DC,AOCISECGLQ_DC: Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOL2Q,AOL2Q,AOL2Q,Assets Level2 (Observable),AOL2Q: Assets Level2 (Observable) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOL2Q_DC,AOL2Q_DC,AOL2Q_DC,Assets Level2 (Observable) DC,AOL2Q_DC: Assets Level2 (Observable) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOQ,AOQ,AOQ,Assets - Other - Total,AOQ: Assets - Other - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,AOQ_DC,AOQ_DC,AOQ_DC,Assets - Other - Total DC,AOQ_DC: Assets - Other - Quarterly - Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,APQ,APQ,APQ,Account Payable/Creditors - Trade,APQ: Account Payable/Creditors - Trade (Refer to your Compustat documentation for item definitions),AM
BalanceSheetQuarterly,APQ_DC,APQ_DC,APQ_DC,Account Payable/Creditors - Trade DC,APQ_DC: Account Payable/Creditors - Trade Data Code (Refer to your Compustat documentation for item definitions),AM
